Name,Platform,Year,Genre,Publisher,Global_Sales
'Assassins Creed: Revelations',PS3,2011,Action,Ubisoft,4.24
'Namco Museum',GBA,2001,Misc,'Namco Bandai Games',4.24
'Metal Gear Solid 3: Snake Eater',PS2,2004,Action,'Konami Digital Entertainment',4.23
Daxter,PSP,2006,Platform,'Sony Computer Entertainment',4.22
'Warcraft II: Tides of Darkness',PC,1995,Strategy,Activision,4.21
'The Legend of Zelda: Ocarina of Time',3DS,2011,Action,Nintendo,4.21
'FIFA Soccer 06',PS2,2005,Sports,'Electronic Arts',4.21
'EyeToy Play',PS2,2003,Misc,'Sony Computer Entertainment',4.2
'Uncharted 4: A Thiefs End',PS4,2016,Shooter,'Sony Computer Entertainment',4.2
'Gran Turismo 5 Prologue',PS3,2007,Racing,'Sony Computer Entertainment',4.2
'Assassins Creed: Revelations',X360,2011,Action,Ubisoft,4.19
'Street Fighter IV',PS3,2009,Fighting,Capcom,4.19
'FIFA 12',X360,2011,Sports,'Electronic Arts',4.19
'Teenage Mutant Ninja Turtles',NES,1989,Action,Palcom,4.17
Excitebike,NES,1984,Racing,Nintendo,4.16
Frogger,PS,1997,Action,'Hasbro Interactive',4.16
'Madden NFL 2003',PS2,2002,Sports,'Electronic Arts',4.14
'Watch Dogs',PS4,2014,Action,Ubisoft,4.14
Half-Life,PC,1997,Shooter,'Vivendi Games',4.12
'Super Mario World 2: Yoshis Island',SNES,1995,Platform,Nintendo,4.12
'FIFA Soccer 07',PS2,2006,Sports,'Electronic Arts',4.11
'The Legend of Zelda: Skyward Sword',Wii,2011,Action,Nintendo,4.1
'Street Fighter II Turbo',SNES,1992,Fighting,Capcom,4.1
'Carnival Games',Wii,2007,Misc,'Take-Two Interactive',4.1
'Fallout 4',XOne,2015,Role-Playing,'Bethesda Softworks',4.09
'World of Warcraft: The Burning Crusade',PC,2007,Role-Playing,Activision,4.09
'Fallout: New Vegas',X360,2010,Role-Playing,'Bethesda Softworks',4.08
'God of War II',PS2,2007,Action,'Sony Computer Entertainment',4.07
'Forza Motorsport 2',X360,2007,Racing,'Microsoft Game Studios',4.06
'World Soccer Winning Eleven 9',PS2,2005,Sports,'Konami Digital Entertainment',4.06
'Namco Museum Vol.3',PS,1996,Misc,'Sony Computer Entertainment',4.05
'Tekken Tag Tournament',PS2,2000,Fighting,'Namco Bandai Games',4.05
'Far Cry 4',PS4,2014,Shooter,Ubisoft,4.03
'Star Fox 64',N64,1997,Shooter,Nintendo,4.03
Minecraft,PS4,2014,Misc,'Sony Computer Entertainment Europe',4.02
Golf,NES,1984,Sports,Nintendo,4.01
'Fallout 3',PS3,2008,Role-Playing,'Bethesda Softworks',4.01
'Professor Layton and the Diabolical Box',DS,2007,Puzzle,Nintendo,4
'Left 4 Dead 2',X360,2009,Shooter,'Electronic Arts',3.99
'Namco Museum: 50th Anniversary',PS2,2005,Misc,'Namco Bandai Games',3.98
'EA Sports Active',Wii,2009,Sports,'Electronic Arts',3.92
'Assassins Creed: Unity',PS4,2014,Action,Ubisoft,3.92
'Donkey Kong Land',GB,1994,Platform,Nintendo,3.91
'Tony Hawks Underground',PS2,2003,Sports,Activision,3.9
'Assassins Creed IV: Black Flag',PS3,2013,Action,Ubisoft,3.89
'Monster Hunter 4 Ultimate',3DS,2014,Role-Playing,Nintendo,3.89
MotorStorm,PS3,2006,Racing,'Sony Computer Entertainment',3.88
'The Elder Scrolls V: Skyrim',PC,2011,Role-Playing,'Bethesda Softworks',3.88
'Tekken 5',PS2,2005,Fighting,'Namco Bandai Games',3.87
'Dragon Warrior III',NES,1988,Role-Playing,'Enix Corporation',3.87
'Sports Champions',PS3,2010,Sports,'Sony Computer Entertainment',3.87
'NBA 2K16',PS4,2015,Sports,'Take-Two Interactive',3.85
'World Soccer Winning Eleven 8 International',PS2,2004,Sports,'Konami Digital Entertainment',3.85
'Flash Focus: Vision Training in Minutes a Day',DS,2007,Misc,Nintendo,3.84
'Namco Museum Vol.1',PS,1995,Misc,'Sony Computer Entertainment',3.84
'The Legend of Zelda: Links Awakening',GB,1992,Action,Nintendo,3.83
'Mario & Luigi: Bowser Inside Story',DS,2009,Role-Playing,Nintendo,3.83
'Big Brain Academy: Wii Degree',Wii,2007,Misc,Nintendo,3.82
'Nintendogs + cats',3DS,2011,Simulation,Nintendo,3.81
'Batman: Arkham Knight',PS4,2015,Action,'Warner Bros. Interactive Entertainment',3.79
'Mario & Sonic at the London 2012 Olympic Games',Wii,2011,Sports,Sega,3.78
'LEGO Indiana Jones: The Original Adventures',X360,2008,Action,Activision,3.78
'Resident Evil Director Cut',PS,1996,Action,'Virgin Interactive',3.77
'Ratchet & Clank: Size Matters',PSP,2007,Platform,'Sony Computer Entertainment',3.77
'Just Dance 2014',Wii,2013,Misc,Ubisoft,3.76
'The Sims: Unleashed',PC,2002,Simulation,'Electronic Arts',3.76
'Super Paper Mario',Wii,2007,Platform,Nintendo,3.76
'Harry Potter and the Sorcerer Stone',PS,2001,Action,'Electronic Arts',3.73
'The Witcher 3: Wild Hunt',PS4,2015,Role-Playing,'Namco Bandai Games',3.73
'Resident Evil 3: Nemesis',PS,1999,Action,'Eidos Interactive',3.72
'Spyro: Year of the Dragon',PS,2000,Platform,'Sony Computer Entertainment',3.71
'FIFA Soccer 2005',PS2,2004,Sports,'Electronic Arts',3.7
'Pokémon Trading Card Game',GB,1998,Strategy,Nintendo,3.7
'Battlefield 4',PS3,2013,Shooter,'Electronic Arts',3.69
MySims,DS,2007,Simulation,'Electronic Arts',3.69
'Friend Collection',DS,2009,Misc,Nintendo,3.67
'Tony Hawk Pro Skater 4',PS2,2002,Sports,Activision,3.67
'Midnight Club 3: DUB Edition',PSP,2005,Racing,'Take-Two Interactive',3.66
Banjo-Kazooie,N64,1998,Platform,Nintendo,3.65
'SOCOM: U.S. Navy SEALs',PS2,2002,Shooter,'Sony Computer Entertainment',3.65
'Guitar Hero: World Tour',Wii,2008,Misc,Activision,3.65
'Gran Turismo 6',PS3,2013,Racing,'Sony Computer Entertainment',3.64
'Jak and Daxter: The Precursor Legacy',PS2,2001,Platform,'Sony Computer Entertainment',3.64
'Pokemon Snap',N64,1999,Simulation,Nintendo,3.63
'FIFA Soccer 10',PS3,2009,Sports,'Electronic Arts',3.63
'Pro Evolution Soccer 2008',PS2,2007,Sports,'Konami Digital Entertainment',3.63
'Call of Duty: Ghosts',PS4,2013,Shooter,Activision,3.63
'Resident Evil 4',PS2,2005,Action,Capcom,3.62
'Tom Clancy The Division',PS4,2016,Shooter,Ubisoft,3.61
'Star Wars: Battlefront',PS2,2004,Shooter,LucasArts,3.61
'Doom II: Hell on Earth',PC,1994,Shooter,'Virgin Interactive',3.61
'The Simpsons: Road Rage',PS2,2001,Racing,'Electronic Arts',3.61
'Cooking Mama 2: Dinner With Friends',DS,2007,Simulation,'505 Games',3.61
'Luigi Mansion',GC,2001,Action,Nintendo,3.6
'Star Wars: Battlefront II',PS2,2005,Shooter,LucasArts,3.59
'WWF SmackDown!',PS,2000,Fighting,THQ,3.58
'Croc: Legend of the Gobbos',PS,1997,Platform,'Fox Interactive',3.56
'Grand Theft Auto: Liberty City Stories',PS2,2006,Action,'Take-Two Interactive',3.54
'The Getaway',PS2,2002,Action,'Sony Computer Entertainment',3.54
'Tomb Raider III: Adventures of Lara Croft',PS,1997,Action,'Eidos Interactive',3.54
'James Bond 007: Agent Under Fire',PS2,2001,Shooter,'Electronic Arts',3.53
'LEGO Star Wars: The Video Game',PS2,2005,Action,'Eidos Interactive',3.53
'Battlefield 4',X360,2013,Shooter,'Electronic Arts',3.53
'FIFA Soccer 11',X360,2010,Sports,'Electronic Arts',3.53
'Rugrats in Paris: The Movie',PS,2000,Action,THQ,3.52
'Spyro 2: Ripto Rage!',PS,1999,Platform,'Sony Computer Entertainment',3.52
'Left 4 Dead',X360,2008,Shooter,'Electronic Arts',3.52
'Mario & Sonic at the Olympic Winter Games',DS,2009,Sports,Sega,3.52
'Resident Evil 5',X360,2009,Action,Capcom,3.51
'Donkey Kong Country 3: Dixie Kong Double Trouble!',SNES,1996,Platform,Nintendo,3.51
'Assassin Creed: Brotherhood',X360,2010,Action,Ubisoft,3.5
'Kung Fu',NES,1985,Action,Nintendo,3.5
'Batman: Arkham Asylum',X360,2009,Action,'Eidos Interactive',3.5
'Clubhouse Games',DS,2006,Misc,Nintendo,3.5
'FIFA Soccer 2004',PS2,N/A,Sports,'Electronic Arts',3.49
'Star Wars Battlefront (2015)',XOne,2015,Shooter,'Electronic Arts',3.49
'Battlefield: Bad Company 2',X360,2010,Shooter,'Electronic Arts',3.48
'Guitar Hero: On Tour',DS,2008,Misc,Activision,3.48
'Assassin Creed: Unity',XOne,2014,Action,Ubisoft,3.46
'Far Cry 3',PS3,2012,Shooter,Ubisoft,3.45
'Monster Hunter 4',3DS,2013,Role-Playing,Capcom,3.44
Borderlands,X360,2009,Shooter,'Take-Two Interactive',3.44
'Tekken 4',PS2,2002,Fighting,'Namco Bandai Games',3.44
'Battlefield 4',PS4,2013,Shooter,'Electronic Arts',3.43
'LittleBigPlanet 2',PS3,2011,Platform,'Sony Computer Entertainment',3.42
'Grand Theft Auto 2',PS,1998,Action,'Take-Two Interactive',3.42
'Final Fantasy III',SNES,1994,Role-Playing,SquareSoft,3.42
'Spider-Man 2',PS2,2004,Action,Activision,3.41
'F-1 Race',GB,1990,Racing,Nintendo,3.41
'FIFA Soccer 2003',PS2,2002,Sports,'Electronic Arts',3.4
'Crash Bash',PS,2000,Misc,'Sony Computer Entertainment',3.39
'LEGO Batman: The Videogame',X360,2008,Action,'Warner Bros. Interactive Entertainment',3.38
'Metal Gear Solid V: The Phantom Pain',PS4,2015,Action,'Konami Digital Entertainment',3.38
'The Legend of Zelda: Spirit Tracks',DS,2009,Action,Nintendo,3.38
'WWF War Zone',PS,1998,Fighting,'Acclaim Entertainment',3.36
'The Legend of Zelda: Majora Mask',N64,2000,Action,Nintendo,3.36
'Professor Layton and the Unwound Future',DS,2008,Puzzle,Nintendo,3.36
'Rugrats: Search For Reptar',PS,1998,Adventure,THQ,3.34
'Assassin Creed IV: Black Flag',X360,2013,Action,Ubisoft,3.34
'English Training: Have Fun Improving Your Skills!',DS,2006,Misc,Nintendo,3.33
'James Bond 007: Nightfire',PS2,2002,Shooter,'Electronic Arts',3.33
'Ratchet & Clank',PS2,2002,Platform,'Sony Computer Entertainment',3.33
'Mario Party 9',Wii,2012,Misc,Nintendo,3.32
'Star Wars Episode III: Revenge of the Sith',PS2,2005,Action,LucasArts,3.32
'Max Payne',PS2,2001,Shooter,'Take-Two Interactive',3.31
'The Lord of the Rings: The Return of the King',PS2,2003,Action,'Electronic Arts',3.28
'Assassin Creed Syndicate',PS4,2015,Action,Ubisoft,3.28
Destiny,XOne,2014,Shooter,Activision,3.28
'True Crime: Streets of LA',PS2,2003,Action,Activision,3.27
'Wii Music',Wii,2008,Misc,Nintendo,3.27
'Gran Turismo (PSP)',PSP,2009,Racing,'Sony Computer Entertainment',3.27
'Monster Hunter X',3DS,2015,Action,Capcom,3.26
Tekken,PS,1995,Fighting,'Sony Computer Entertainment',3.24
'FIFA 16',XOne,2015,Sports,'Electronic Arts',3.23
'L.A. Noire',PS3,2011,Adventure,'Take-Two Interactive',3.23
'Madden NFL 16',PS4,2015,Sports,'Electronic Arts',3.22
'Yokai Watch 2 Ganso/Honke',3DS,2014,Role-Playing,Nintendo,3.22
'007: Tomorrow Never Dies',PS,1999,Shooter,'Electronic Arts',3.21
Baseball,NES,1983,Sports,Nintendo,3.2
'Killer Instinct',SNES,1995,Fighting,Nintendo,3.2
'WWF SmackDown! 2: Know Your Role',PS,2000,Fighting,THQ,3.2
'Crisis Core: Final Fantasy VII',PSP,2007,Role-Playing,'Square Enix',3.19
'God of War: Chains of Olympus',PSP,2008,Action,'Sony Computer Entertainment',3.19
'Dragon Quest VI: Maboroshi no Daichi',SNES,1995,Role-Playing,'Enix Corporation',3.19
'Dance Central',X360,2010,Misc,'MTV Games',3.19
'Enter the Matrix',PS2,2003,Action,Atari,3.18
'Super Mario Maker',WiiU,2015,Platform,Nintendo,3.18
'Fallout: New Vegas',PS3,2010,Role-Playing,'Bethesda Softworks',3.17
'LEGO Batman: The Videogame',Wii,N/A,Action,'Warner Bros. Interactive Entertainment',3.17
'Rhythm Heaven',DS,2008,Misc,Nintendo,3.17
'Ace Combat 04: Shattered Skies',PS2,2001,Simulation,'Sony Computer Entertainment Europe',3.17
'Club Penguin: Elite Penguin Force',DS,2008,Adventure,'Disney Interactive Studios',3.16
'Animal Crossing',GC,2001,Simulation,Nintendo,3.15
'LEGO Batman: The Videogame',DS,2008,Action,'Warner Bros. Interactive Entertainment',3.15
'Sonic Rush',DS,2005,Platform,Sega,3.15
'Resident Evil 6',PS3,2012,Shooter,Capcom,3.15
'Halo: The Master Chief Collection',XOne,2014,Shooter,'Microsoft Game Studios',3.15
'FIFA Soccer 08',PS2,2007,Sports,'Electronic Arts',3.14
Spider-Man,PS,2000,Action,Activision,3.13
'Need for Speed III: Hot Pursuit',PS,1998,Racing,'Electronic Arts',3.12
'Star Wars Episode I Racer',N64,1999,Racing,Nintendo,3.12
'Personal Trainer: Cooking',DS,2006,Misc,Nintendo,3.12
'The Elder Scrolls IV: Oblivion',PS3,2007,Role-Playing,Ubisoft,3.12
'Dragon Warrior IV',NES,1990,Role-Playing,'Enix Corporation',3.12
'Heavy Rain',PS3,2010,Adventure,'Sony Computer Entertainment',3.12
'Mass Effect 2',X360,2010,Role-Playing,'Electronic Arts',3.11
'FIFA 15',X360,2014,Sports,'Electronic Arts',3.11
'Dragon Ball Z: Budokai',PS2,2002,Fighting,Atari,3.09
'Madden NFL 2002',PS2,2001,Sports,'Electronic Arts',3.08
'World Class Track Meet',NES,1986,Sports,'Namco Bandai Games',3.08
'Borderlands 2',X360,2012,Shooter,'Take-Two Interactive',3.07
'The Legend of Zelda: A Link Between Worlds',3DS,2013,Action,Nintendo,3.07
'Donkey Kong',GB,1994,Platform,Nintendo,3.07
'The Sims: Vacation',PC,2002,Simulation,'Electronic Arts',3.07
'Mass Effect 3',X360,2012,Role-Playing,'Electronic Arts',3.07
'Kung Fu Panda',X360,2008,Action,Activision,3.05
'Far Cry 3',X360,2012,Shooter,Ubisoft,3.04
'Epic Mickey',Wii,2010,Platform,'Disney Interactive Studios',3.04
'Saints Row 2',X360,2008,Action,THQ,3.03
Rayman,PS,1995,Platform,Ubisoft,3.03
'Killzone 2',PS3,2009,Shooter,'Sony Computer Entertainment',3.02
'Tom Clancy Splinter Cell',XB,2002,Action,Ubisoft,3.02
'Mike Tyson Punch-Out!!',NES,1987,Fighting,Nintendo,3.02
'WWE SmackDown! Shut Your Mouth',PS2,2002,Sports,THQ,3.02
'Gears of War: Ultimate Edition',XOne,2015,Shooter,'Microsoft Game Studios',3
'NBA 2K13',X360,2012,Sports,'Take-Two Interactive',3
'Dragon Ball Z: Budokai Tenkaichi 3',PS2,2007,Fighting,Atari,3
'wwe Smackdown vs. Raw 2006',PS2,N/A,Fighting,N/A,3
'Middle-Earth: Shadow of Mordor',PS4,2014,Action,'Warner Bros. Interactive Entertainment',2.99
'Star Fox',SNES,1993,Shooter,Nintendo,2.99
'The Sims: Livin Large',PC,2000,Misc,'Electronic Arts',2.99
'World Soccer Winning Eleven 6 International',PS2,2002,Sports,'Konami Digital Entertainment',2.99
'Devil May Cry',PS2,2001,Action,Capcom,2.99
'Animal Crossing: Happy Home Designer',3DS,2015,Simulation,Nintendo,2.98
'Battlefield: Bad Company 2',PS3,2010,Shooter,'Electronic Arts',2.97
'The Sims 4',PC,2014,Simulation,'Electronic Arts',2.97
'Star Wars: The Old Republic',PC,2011,Role-Playing,'Electronic Arts',2.97
'Sonic Heroes',PS2,2003,Platform,Sega,2.96
'Kirby Super Star Ultra',DS,2008,Platform,Nintendo,2.96
'Hitman 2: Silent Assassin',PS2,2002,Action,'Eidos Interactive',2.96
'Street Fighter IV',X360,2009,Fighting,Capcom,2.95
'Wave Race 64',N64,1996,Racing,Nintendo,2.94
'SOCOM II: U.S. Navy SEALs',PS2,2003,Shooter,'Sony Computer Entertainment',2.94
'WWE SmackDown! vs. RAW 2006',PS2,2005,Fighting,THQ,2.94
inFAMOUS,PS3,2009,Action,'Sony Computer Entertainment',2.94
'Pac-Man Collection',GBA,2001,Puzzle,Atari,2.94
'Mass Effect',X360,2007,Role-Playing,'Microsoft Game Studios',2.93
'WarioWare: Smooth Moves',Wii,2006,Puzzle,Nintendo,2.92
'Cooking Mama: Cook Off',Wii,2007,Simulation,'505 Games',2.91
'Super Mario World 2: Yoshi Island',GBA,2002,Platform,Nintendo,2.91
'FIFA 14',PS4,2013,Sports,'Electronic Arts',2.9
Titanfall,XOne,2014,Shooter,'Electronic Arts',2.9
'Sonic Mega Collection Plus',PS2,2004,Misc,Sega,2.9
'Sega Superstars Tennis',X360,2008,Sports,Sega,2.9
'World Soccer Winning Eleven 7 International',PS2,2003,Sports,'Konami Digital Entertainment',2.9
'Need for Speed: Most Wanted',PS3,2012,Racing,'Electronic Arts',2.89
'Hot Shots Golf 3',PS2,2001,Sports,'Sony Computer Entertainment',2.89
'Call of Duty: Finest Hour',PS2,2004,Shooter,Activision,2.89
'Zumba Fitness 2',Wii,2011,Sports,'Majesco Entertainment',2.88
'Syphon Filter',PS,1999,Shooter,'Sony Computer Entertainment',2.88
'Imagine: Babyz',DS,2007,Simulation,Ubisoft,2.88
'Colin McRae Rally',PS,1998,Racing,Codemasters,2.87
'Call of Duty: Ghosts',XOne,2013,Shooter,Activision,2.86
'Madden NFL 13',X360,2012,Sports,'Electronic Arts',2.86
'The Elder Scrolls III: Morrowind',XB,2002,Role-Playing,Ubisoft,2.86
'Mortal Kombat',PS3,2011,Fighting,'Warner Bros. Interactive Entertainment',2.85
F-Zero,SNES,1990,Racing,Nintendo,2.85
'Yoshi Story',N64,1997,Platform,Nintendo,2.85
'Command & Conquer: Red Alert',PC,1996,Strategy,'Virgin Interactive',2.85
'Skylanders: Spyro Adventure',Wii,2011,Action,Activision,2.85
'FIFA 16',PS3,2015,Sports,'Electronic Arts',2.85
'Assassin Creed: Brotherhood',PS3,2010,Action,Ubisoft,2.84
BioShock,X360,2007,Shooter,'Take-Two Interactive',2.83
'Madden NFL 10',X360,2009,Sports,'Electronic Arts',2.83
'Medal of Honor',PS3,2010,Shooter,'Electronic Arts',2.83
'WWE SmackDown! vs. Raw',PS2,2002,Fighting,THQ,2.83
'Metroid Prime',GC,2002,Shooter,Nintendo,2.82
'Finding Nemo',GBA,2003,Action,THQ,2.82
Myst,PC,1994,Adventure,'Red Orb',2.81
'Need for Speed: Hot Pursuit',PS3,2010,Racing,'Electronic Arts',2.81
'Imagine: Fashion Designer',DS,2007,Simulation,Ubisoft,2.81
'WWE SmackDown! Here Comes the Pain',PS2,2003,Fighting,THQ,2.8
'Star Wars: The Force Unleashed',X360,2008,Action,LucasArts,2.8
'Yoshi Island DS',DS,2006,Platform,Nintendo,2.8
'Hot Shots Golf',PS,1997,Sports,'Sony Computer Entertainment',2.79
'Killzone 3',PS3,2011,Shooter,'Sony Computer Entertainment',2.79
'A Bug Life',PS,1998,Platform,'Sony Computer Entertainment',2.79
'WWF SmackDown! Just Bring It',PS2,2001,Fighting,THQ,2.79
'Dragon Quest V: Tenkuu no Hanayome',SNES,1992,Role-Playing,'Enix Corporation',2.79
'Mortal Kombat Trilogy',PS,1996,Fighting,'GT Interactive',2.79
'Battlefield 3',PC,2011,Shooter,'Electronic Arts',2.79
'NBA Street',PS2,2001,Sports,'Electronic Arts',2.79
'Professor Layton and the Last Specter',DS,2009,Puzzle,Nintendo,2.79
'Monster Hunter Tri',3DS,2011,Role-Playing,Nintendo,2.79
'Jak II',PS2,2003,Platform,'Sony Computer Entertainment',2.78
'inFAMOUS: Second Son',PS4,2014,Action,'Sony Computer Entertainment',2.78
'Ratchet & Clank: Going Commando',PS2,2003,Platform,'Sony Computer Entertainment',2.78
'Tekken 6',PS3,2009,Fighting,'Namco Bandai Games',2.78
'The Sims',PS2,2003,Simulation,'Electronic Arts',2.77
'Sonic and the Secret Rings',Wii,2007,Platform,Sega,2.77
'Saints Row: The Third',X360,2011,Action,THQ,2.77
'Missile Command',2600,1980,Shooter,Atari,2.76
'Mario Paint',SNES,1992,Misc,Nintendo,2.75
'Assassin Creed IV: Black Flag',PS4,2013,Action,Ubisoft,2.74
'Pokémon Stadium 2',N64,2000,Strategy,Nintendo,2.73
Metroid,NES,1986,Action,Nintendo,2.73
'L.A. Noire',X360,2011,Adventure,'Take-Two Interactive',2.72
'Call of Duty 3',X360,2006,Shooter,Activision,2.71
'The Legend of Zelda: A Link to the Past',GBA,2002,Action,Nintendo,2.7
'Onimusha: Warlords',PS2,2001,Action,'Virgin Interactive',2.7
'Mortal Kombat X',PS4,2015,Fighting,'Warner Bros. Interactive Entertainment',2.7
'Mario Party',N64,1998,Misc,Nintendo,2.7
'Madden NFL 12',X360,2011,Sports,'Electronic Arts',2.69
'LEGO Star Wars II: The Original Trilogy',PS2,2006,Action,LucasArts,2.69
'Madden NFL 11',X360,2010,Sports,'Electronic Arts',2.69
'Mario vs. Donkey Kong: Mini-Land Mayhem!',DS,2010,Puzzle,Nintendo,2.69
'Skate 3',X360,2010,Sports,'Electronic Arts',2.68
'Burnout 3: Takedown',PS2,2004,Racing,'Electronic Arts',2.68
'Yokai Watch 2 Shinuchi',3DS,2014,Role-Playing,'Level 5',2.68
'Need for Speed: Shift',PS3,2009,Racing,'Electronic Arts',2.68
'Final Fantasy XIII-2',PS3,2011,Role-Playing,'Square Enix',2.68
'Mortal Kombat',GEN,1992,Fighting,'Arena Entertainment',2.67
'Call Of Duty 2: Big Red One',PS2,2005,Shooter,Activision,2.67
'Guitar Hero: World Tour',X360,2008,Misc,Activision,2.67
'Medal of Honor',PS,1998,Shooter,'Electronic Arts',2.67
Fable,XB,2004,Role-Playing,'Microsoft Game Studios',2.66
'Hannah Montana',DS,2006,Action,'Disney Interactive Studios',2.65
'Tom Clancy Splinter Cell',PS2,2003,Action,Ubisoft,2.65
'Skylanders Giants',Wii,2012,Action,Activision,2.65
'Medal of Honor Heroes',PSP,2006,Shooter,'Electronic Arts',2.65
'Super Mario Bros.: The Lost Levels',NES,1986,Platform,Nintendo,2.65
'Star Wars: Shadows of the Empire',N64,1996,Action,Nintendo,2.65
'LEGO Star Wars: The Complete Saga',X360,2007,Action,LucasArts,2.64
'Midnight Club: Street Racing',PS2,2000,Racing,'Take-Two Interactive',2.63
'Pac-Man: Adventures in Time',PSP,2006,Fighting,'Sony Computer Entertainment',2.63
'Halo Wars',X360,2009,Strategy,'Microsoft Game Studios',2.63
'God of War Collection',PS3,2009,Action,'Sony Computer Entertainment',2.63
'ESPN NFL 2K5',PS2,2004,Sports,Sega,2.62
'Mario Strikers Charged',Wii,2007,Sports,Nintendo,2.62
'Medal of Honor',X360,2010,Shooter,'Electronic Arts',2.62
'FIFA Soccer 10',X360,2009,Sports,'Electronic Arts',2.62
'NBA 2K12',X360,2011,Sports,'Take-Two Interactive',2.62
